time,rainfall
1997-10-01 00:00:00+00:00,2.2327156
1997-10-02 00:00:00+00:00,0.6774495
1997-10-03 00:00:00+00:00,0.42862317
1997-10-04 00:00:00+00:00,0.0070186164
1997-10-05 00:00:00+00:00,1.1670253
1997-10-06 00:00:00+00:00,3.0389555
1997-10-07 00:00:00+00:00,5.605137
1997-10-08 00:00:00+00:00,2.3074872
1997-10-09 00:00:00+00:00,3.4039156
1997-10-10 00:00:00+00:00,16.356718
1997-10-11 00:00:00+00:00,10.529817
1997-10-12 00:00:00+00:00,0.47096726
1997-10-13 00:00:00+00:00,3.1000853
1997-10-14 00:00:00+00:00,5.41925
1997-10-15 00:00:00+00:00,7.6191397
1997-10-16 00:00:00+00:00,6.6824465
1997-10-17 00:00:00+00:00,25.868605
1997-10-18 00:00:00+00:00,10.278951
1997-10-19 00:00:00+00:00,4.36674
1997-10-20 00:00:00+00:00,3.9144075
1997-10-21 00:00:00+00:00,25.445946
1997-10-22 00:00:00+00:00,0.6407694
1997-10-23 00:00:00+00:00,4.4883432
1997-10-24 00:00:00+00:00,16.80241
1997-10-25 00:00:00+00:00,10.965593
1997-10-26 00:00:00+00:00,7.077529
1997-10-27 00:00:00+00:00,12.549405
1997-10-28 00:00:00+00:00,7.6642766
1997-10-29 00:00:00+00:00,0.43279845
1997-10-30 00:00:00+00:00,5.123335
1997-10-31 00:00:00+00:00,4.5645623
