time,rainfall
1994-03-01 00:00:00+00:00,0.0
1994-03-02 00:00:00+00:00,0.0
1994-03-03 00:00:00+00:00,0.0
1994-03-04 00:00:00+00:00,0.34682137
1994-03-05 00:00:00+00:00,0.0
1994-03-06 00:00:00+00:00,1.171305
1994-03-07 00:00:00+00:00,0.0
1994-03-08 00:00:00+00:00,0.4679735
1994-03-09 00:00:00+00:00,2.3135974
1994-03-10 00:00:00+00:00,1.4550344
1994-03-11 00:00:00+00:00,3.42567
1994-03-12 00:00:00+00:00,3.862174
1994-03-13 00:00:00+00:00,2.1095924
1994-03-14 00:00:00+00:00,7.758676
1994-03-15 00:00:00+00:00,0.063197
1994-03-16 00:00:00+00:00,0.009285514
1994-03-17 00:00:00+00:00,0.23306485
1994-03-18 00:00:00+00:00,1.4978106
1994-03-19 00:00:00+00:00,1.8901486
1994-03-20 00:00:00+00:00,1.0642195
1994-03-21 00:00:00+00:00,2.819909
1994-03-22 00:00:00+00:00,0.14920305
1994-03-23 00:00:00+00:00,0.7665767
1994-03-24 00:00:00+00:00,0.017469922
1994-03-25 00:00:00+00:00,3.9423969
1994-03-26 00:00:00+00:00,0.9907249
1994-03-27 00:00:00+00:00,9.529425
1994-03-28 00:00:00+00:00,3.8875246
1994-03-29 00:00:00+00:00,8.553288
1994-03-30 00:00:00+00:00,0.1486312
1994-03-31 00:00:00+00:00,0.0
