time,rainfall
1991-12-01 00:00:00+00:00,0.14490043
1991-12-02 00:00:00+00:00,0.86778927
1991-12-03 00:00:00+00:00,2.21997
1991-12-04 00:00:00+00:00,1.9274347
1991-12-05 00:00:00+00:00,0.41973162
1991-12-06 00:00:00+00:00,0.3677648
1991-12-07 00:00:00+00:00,1.840098
1991-12-08 00:00:00+00:00,0.0
1991-12-09 00:00:00+00:00,0.0
1991-12-10 00:00:00+00:00,0.0
1991-12-11 00:00:00+00:00,0.029196223
1991-12-12 00:00:00+00:00,0.0
1991-12-13 00:00:00+00:00,0.0
1991-12-14 00:00:00+00:00,0.0
1991-12-15 00:00:00+00:00,0.0
1991-12-16 00:00:00+00:00,0.0
1991-12-17 00:00:00+00:00,0.0
1991-12-18 00:00:00+00:00,0.0
1991-12-19 00:00:00+00:00,0.0
1991-12-20 00:00:00+00:00,0.10798143
1991-12-21 00:00:00+00:00,3.8696673
1991-12-22 00:00:00+00:00,2.505897
1991-12-23 00:00:00+00:00,0.25488463
1991-12-24 00:00:00+00:00,0.79865396
1991-12-25 00:00:00+00:00,0.0
1991-12-26 00:00:00+00:00,0.0
1991-12-27 00:00:00+00:00,0.0
1991-12-28 00:00:00+00:00,0.0
1991-12-29 00:00:00+00:00,0.0
1991-12-30 00:00:00+00:00,0.0
1991-12-31 00:00:00+00:00,0.0
