time,rainfall
1998-11-01 00:00:00+00:00,6.597908
1998-11-02 00:00:00+00:00,0.5353042
1998-11-03 00:00:00+00:00,14.891109
1998-11-04 00:00:00+00:00,0.48730513
1998-11-05 00:00:00+00:00,0.3607117
1998-11-06 00:00:00+00:00,8.726137
1998-11-07 00:00:00+00:00,6.096096
1998-11-08 00:00:00+00:00,1.5509785
1998-11-09 00:00:00+00:00,0.14767084
1998-11-10 00:00:00+00:00,7.057718
1998-11-11 00:00:00+00:00,18.038809
1998-11-12 00:00:00+00:00,10.843877
1998-11-13 00:00:00+00:00,0.79093117
1998-11-14 00:00:00+00:00,0.1258331
1998-11-15 00:00:00+00:00,1.4088268
1998-11-16 00:00:00+00:00,2.4532578
1998-11-17 00:00:00+00:00,2.2898824
1998-11-18 00:00:00+00:00,7.9905043
1998-11-19 00:00:00+00:00,4.1257463
1998-11-20 00:00:00+00:00,0.0
1998-11-21 00:00:00+00:00,0.0
1998-11-22 00:00:00+00:00,0.0
1998-11-23 00:00:00+00:00,0.34473762
1998-11-24 00:00:00+00:00,0.0
1998-11-25 00:00:00+00:00,0.0
1998-11-26 00:00:00+00:00,0.0
1998-11-27 00:00:00+00:00,0.0
1998-11-28 00:00:00+00:00,0.2545771
1998-11-29 00:00:00+00:00,0.0
1998-11-30 00:00:00+00:00,0.0
